latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,-14400,America/New_York,EDT

time,temperature_2m (°F),relative_humidity_2m (%),apparent_temperature (°F),precipitation (inch),weather_code (wmo code)
2024-01-17T20:00,20.8,45,9.4,0.000,0
2024-01-17T21:00,20.2,47,8.8,0.000,0
2024-01-17T22:00,20.3,46,8.7,0.000,0
2024-01-17T23:00,20.3,46,9.5,0.000,0
2024-01-18T00:00,20.1,48,9.6,0.000,0
2024-01-18T01:00,19.9,51,9.6,0.000,0
2024-01-18T02:00,19.7,53,9.4,0.000,1
2024-01-18T03:00,19.6,55,9.6,0.000,0
2024-01-18T04:00,19.4,56,9.7,0.000,0
2024-01-18T05:00,19.4,57,9.6,0.000,1
2024-01-18T06:00,19.4,58,10.1,0.000,1
2024-01-18T07:00,20.1,58,10.7,0.000,3
2024-01-18T08:00,20.5,64,11.4,0.000,2
2024-01-18T09:00,22.9,52,13.6,0.000,3
2024-01-18T10:00,24.7,47,14.8,0.000,3
2024-01-18T11:00,26.1,46,16.7,0.004,71
2024-01-18T12:00,27.4,47,16.9,0.004,71
2024-01-18T13:00,28.9,47,18.3,0.004,71
2024-01-18T14:00,30.9,45,20.9,0.000,71
2024-01-18T15:00,31.9,44,21.9,0.000,3
2024-01-18T16:00,32.3,44,22.8,0.000,3
2024-01-18T17:00,32.0,46,23.3,0.000,3
2024-01-18T18:00,29.7,52,22.0,0.000,3
2024-01-18T19:00,28.9,55,21.5,0.000,3
2024-01-18T20:00,28.8,56,21.4,0.000,3
2024-01-18T21:00,28.6,55,20.9,0.000,3
2024-01-18T22:00,28.8,56,21.4,0.000,3
2024-01-18T23:00,28.4,58,21.7,0.000,3
2024-01-19T00:00,27.6,64,20.9,0.000,3
2024-01-19T01:00,26.7,69,20.1,0.000,3
2024-01-19T02:00,26.5,72,20.1,0.000,3
2024-01-19T03:00,26.9,72,19.8,0.000,3
2024-01-19T04:00,26.6,73,19.2,0.000,3
2024-01-19T05:00,26.8,73,19.6,0.000,3
2024-01-19T06:00,26.8,77,19.6,0.004,71
2024-01-19T07:00,26.6,81,19.3,0.004,71
2024-01-19T08:00,26.4,83,18.9,0.004,71
2024-01-19T09:00,26.7,79,19.7,0.008,71
2024-01-19T10:00,27.6,76,20.4,0.008,71
2024-01-19T11:00,28.7,73,20.2,0.008,71
2024-01-19T12:00,29.3,71,19.8,0.012,73
2024-01-19T13:00,29.5,71,20.1,0.016,73
2024-01-19T14:00,29.8,68,20.2,0.012,73
2024-01-19T15:00,30.0,65,20.3,0.008,71
2024-01-19T16:00,29.8,65,20.1,0.008,71
2024-01-19T17:00,28.6,72,20.0,0.008,71
2024-01-19T18:00,27.4,76,18.6,0.004,71
2024-01-19T19:00,26.1,75,17.0,0.004,71
2024-01-19T20:00,25.1,74,16.2,0.000,2
2024-01-19T21:00,24.5,73,16.2,0.000,3
2024-01-19T22:00,23.4,80,16.4,0.000,2
2024-01-19T23:00,24.5,75,15.6,0.000,3
2024-01-20T00:00,24.5,64,14.3,0.000,1
2024-01-20T01:00,22.8,63,11.9,0.000,3
2024-01-20T02:00,21.3,59,9.8,0.000,1
2024-01-20T03:00,19.5,60,8.0,0.000,0
2024-01-20T04:00,18.3,62,7.1,0.000,0
2024-01-20T05:00,17.6,64,6.7,0.000,0
2024-01-20T06:00,17.3,63,6.8,0.000,0
2024-01-20T07:00,17.1,64,7.1,0.000,0
2024-01-20T08:00,16.9,65,7.3,0.000,0
2024-01-20T09:00,17.9,60,7.4,0.000,0
2024-01-20T10:00,20.0,49,8.0,0.000,0
2024-01-20T11:00,21.7,44,9.4,0.000,0
2024-01-20T12:00,23.9,39,11.2,0.000,2
2024-01-20T13:00,25.1,39,12.2,0.000,1
2024-01-20T14:00,25.6,37,12.4,0.000,1
2024-01-20T15:00,25.0,38,11.7,0.000,3
2024-01-20T16:00,23.6,40,10.1,0.000,2
2024-01-20T17:00,22.1,43,8.9,0.000,2
2024-01-20T18:00,20.3,48,8.0,0.000,3
2024-01-20T19:00,19.6,50,7.5,0.000,3
2024-01-20T20:00,19.0,50,6.7,0.000,1
2024-01-20T21:00,18.5,50,6.0,0.000,2
2024-01-20T22:00,18.5,51,5.8,0.000,1
2024-01-20T23:00,18.1,54,5.6,0.000,2
2024-01-21T00:00,18.4,56,6.0,0.000,2
2024-01-21T01:00,18.5,58,6.7,0.000,1
2024-01-21T02:00,18.9,59,7.6,0.000,0
2024-01-21T03:00,19.7,58,8.3,0.000,1
2024-01-21T04:00,19.5,58,8.2,0.000,0
2024-01-21T05:00,19.2,58,7.6,0.000,0
2024-01-21T06:00,18.8,57,7.1,0.000,0
2024-01-21T07:00,18.5,58,7.2,0.000,1
2024-01-21T08:00,18.1,59,7.1,0.000,0
2024-01-21T09:00,19.9,55,8.6,0.000,0
2024-01-21T10:00,21.5,49,9.2,0.000,0
2024-01-21T11:00,23.0,45,10.5,0.000,0
